Draw Date,Draw Schedule,First Number,Second Number,Third Number
6/1/2019,Evening,8,4,2
6/2/2019,Morning,8,4,8
6/2/2019,Evening,3,0,3
6/3/2019,Morning,6,5,1
6/3/2019,Evening,9,9,4
6/4/2019,Morning,9,7,3
6/4/2019,Evening,5,7,5
6/5/2019,Morning,9,0,2
6/5/2019,Evening,2,5,9
6/6/2019,Morning,8,5,7
6/6/2019,Evening,1,7,6
6/7/2019,Morning,0,2,7
6/7/2019,Evening,0,0,8
6/8/2019,Morning,0,5,3
6/8/2019,Evening,1,0,0
6/9/2019,Morning,5,8,6
6/9/2019,Evening,1,6,8
7/10/2019,Morning,5,5,2
7/10/2019,Evening,2,7,6
7/11/2019,Morning,6,9,4
7/11/2019,Evening,2,7,6
7/12/2019,Morning,4,4,2
7/12/2019,Evening,7,3,2
7/13/2019,Morning,8,5,7
7/13/2019,Evening,6,0,3
7/14/2019,Morning,4,7,6
7/14/2019,Evening,6,4,8
7/15/2019,Morning,8,8,6
7/15/2019,Evening,9,3,8
7/16/2019,Morning,0,8,3
7/16/2019,Evening,5,4,8
7/17/2019,Morning,7,8,8
7/17/2019,Evening,9,0,6
7/18/2019,Morning,9,0,3
7/18/2019,Evening,0,0,6
7/19/2019,Morning,9,9,5
7/19/2019,Evening,3,8,2
7/20/2019,Morning,0,7,5
7/20/2019,Evening,4,7,8
7/21/2019,Morning,1,8,7
7/21/2019,Evening,4,8,5
7/22/2019,Morning,3,6,3
7/22/2019,Evening,0,1,5
7/23/2019,Morning,2,9,9
7/23/2019,Evening,8,7,6
7/24/2019,Morning,0,6,6
7/24/2019,Evening,6,3,1
